trade_id,trader_id,persona,account_size,balance_before_trade,balance_after_trade,trade_timestamp,strategy_type,leverage_used,holding_minutes,stop_loss_used,pnl,trade_outcome,overnight_position,capital_risked,risk_percentage
0632b329-98ba-431b-90f4-754b98c38e7a,TRADER_1,expiry_day_gambler,140844,140844.0,122470.72,2025-01-01 10:19:00,Long Call,5.13,20,0,-18373.28,LOSS,0,27603.69,0.196
87d4f69e-b0b2-48ca-b04c-19d682faef0f,TRADER_1,expiry_day_gambler,140844,122470.72,157064.55,2025-01-01 10:42:00,Long Put,6.83,1,0,34593.83,WIN,0,32988.33,0.2342
2faeaad4-ef67-4619-85ec-f45e5db6a2b3,TRADER_1,expiry_day_gambler,140844,157064.55,173761.94,2025-01-01 14:08:00,Long Put,7.12,19,0,16697.39,WIN,0,54513.99,0.3871
8ee59b99-7302-4054-b62d-fc54123c8e94,TRADER_1,expiry_day_gambler,140844,173761.94,168123.77,2025-01-01 10:12:00,Long Put,7.52,15,0,-5638.17,LOSS,0,33155.69,0.2354
3e4c68cc-c5b7-498b-9d48-862361888515,TRADER_1,expiry_day_gambler,140844,168123.77,145434.21,2025-01-01 13:13:00,Long Put,8.64,6,0,-22689.56,LOSS,0,30450.48,0.2162
191ce6e0-3224-4577-b83e-a079cf6046af,TRADER_1,expiry_day_gambler,140844,145434.21,138030.19,2025-01-01 15:28:00,Long Call,6.26,1,0,-7404.02,LOSS,0,49921.98,0.3544
66290c85-9e55-4e66-98f6-cb6dc130ff96,TRADER_1,expiry_day_gambler,140844,138030.19,157571.64,2025-01-01 15:19:00,Long Call,8.31,15,0,19541.45,WIN,0,34882.81,0.2477
8fa03abd-bc1a-4733-9cb7-8a8750cb81fe,TRADER_1,expiry_day_gambler,140844,157571.64,132544.64,2025-01-01 10:08:00,Long Call,8.1,14,0,-25027.0,LOSS,0,27922.72,0.1983
68620085-e2e0-43b3-bd96-9b0cd8e8ee76,TRADER_1,expiry_day_gambler,140844,132544.64,113239.91,2025-01-01 12:51:00,Long Put,9.2,4,1,-19304.73,LOSS,0,22120.3,0.1571
563582f0-ccff-4092-8232-4e669098861c,TRADER_1,expiry_day_gambler,140844,113239.91,117893.84,2025-01-01 14:23:00,Long Put,5.4,13,1,4653.93,WIN,0,49736.49,0.3531
